species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Rough-toothed dolphin,8,9,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,0,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,1,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,2,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,3,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,4,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,5,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,6,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,7,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,8,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,16,9,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,all,0,0.33811279121074206,0.12266923395613719,3,8,5
Offshore spotted dolphin,1,0,0.5447153374610793,0.2804660504476926,4,11,1
Offshore spotted dolphin,1,1,0.28813955384173406,0.2551149118230311,4,11,1
Offshore spotted dolphin,1,2,0.6464765735759873,0.2994985700592788,4,11,1
Offshore spotted dolphin,1,3,0.6866088512101443,0.3363878601520128,3,11,1
Offshore spotted dolphin,1,4,0.48350355982631993,0.1870779985337404,5,11,1
Offshore spotted dolphin,1,5,0.7054767676981049,0.13333209220674683,4,11,1
Offshore spotted dolphin,1,6,0.36121295245115465,0.26160618251375456,3,11,1
Offshore spotted dolphin,1,7,0.5654129989545367,0.23575520993153848,5,11,1
Offshore spotted dolphin,1,8,0.3253221271006664,0.15948177186917406,3,11,1
Offshore spotted dolphin,1,9,0.5660316533616238,0.29374198903521515,5,11,1
Offshore spotted dolphin,2,0,0.5673903877228594,0.10821250204210614,5,11,2
Offshore spotted dolphin,2,1,0.5818234157743919,0.22481133303958517,5,11,2
Offshore spotted dolphin,2,2,0.5840120097465467,0.21498296115422807,5,11,2
Offshore spotted dolphin,2,3,0.3816427008112556,0.18711731746785173,5,11,2
Offshore spotted dolphin,2,4,0.6640689006461737,0.1439564989770509,5,11,2
Offshore spotted dolphin,2,5,0.6006337877844616,0.2550673487468197,5,11,2
Offshore spotted dolphin,2,6,0.5917882024214481,0.12956777290470226,5,11,2
Offshore spotted dolphin,2,7,0.37582867857727226,0.16999512185543952,5,11,2
Offshore spotted dolphin,2,8,0.4802177513610463,0.2467964504259922,5,11,2
Offshore spotted dolphin,2,9,0.34011930977866883,0.1351072980510608,5,11,2
Offshore spotted dolphin,4,0,0.539444026620003,0.17324560205639175,5,11,4
Offshore spotted dolphin,4,1,0.6107596725995298,0.14710799591773183,5,11,4
Offshore spotted dolphin,4,2,0.7005709311774149,0.15635774086059193,5,11,4
Offshore spotted dolphin,4,3,0.5182394550103843,0.22197113104178112,5,11,4
Offshore spotted dolphin,4,4,0.6166436460773895,0.21190336778401658,5,11,4
Offshore spotted dolphin,4,5,0.3410073851427141,0.15836394566732584,5,11,4
Offshore spotted dolphin,4,6,0.3912690594098732,0.31288027742477637,5,11,4
Offshore spotted dolphin,4,7,0.42648040848772517,0.13389046810212804,5,11,4
Offshore spotted dolphin,4,8,0.4989329372005922,0.15501761793440946,5,11,4
Offshore spotted dolphin,4,9,0.427501926148647,0.12713571734869342,5,11,4
Offshore spotted dolphin,8,0,0.33561990263995567,0.1734554294350304,5,11,8
Offshore spotted dolphin,8,1,0.4924548291728411,0.11284173824730016,5,11,8
Offshore spotted dolphin,8,2,0.4270935278648486,0.11863075422741899,5,11,8
Offshore spotted dolphin,8,3,0.44540195113460557,0.16086140427912957,5,11,8
