species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
False killer whale,4,3,0.8050869116587815,0.12100374089799472,5,13,4
False killer whale,4,4,0.8504342851253934,0.11532984004978972,5,13,4
False killer whale,4,5,0.7926298877672323,0.047510452750357646,5,13,4
False killer whale,4,6,0.8578583946953817,0.12516535370445273,5,13,4
False killer whale,4,7,0.8404683902847667,0.10065528649314036,5,13,4
False killer whale,4,8,0.7975510007296595,0.14732326416911137,5,13,4
False killer whale,4,9,0.7329125512933944,0.14102957346231845,5,13,4
False killer whale,8,0,0.8929049271519842,0.05258972496677764,5,13,8
False killer whale,8,1,0.869264819524193,0.1433166586361885,5,13,8
False killer whale,8,2,0.8605881833908302,0.07841174421237762,5,13,8
False killer whale,8,3,0.8699889600938627,0.14475795405017328,5,13,8
False killer whale,8,4,0.870856326204225,0.15942969464800355,5,13,8
False killer whale,8,5,0.9109875602155162,0.0546246800656726,5,13,8
False killer whale,8,6,0.8657270106429991,0.15791592121943293,5,13,8
False killer whale,8,7,0.8075141268223834,0.1630862033592798,5,13,8
False killer whale,8,8,0.9183543495609108,0.061040428266172515,5,13,8
False killer whale,8,9,0.8756184695416989,0.16143641059184163,5,13,8
False killer whale,16,0,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,1,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,2,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,3,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,4,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,5,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,6,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,7,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,8,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,16,9,0.8806982462402928,0.14845994154293765,5,13,11
False killer whale,all,0,0.8806982462402928,0.14845994154293765,5,13,11
Short-finned pilot whale,1,0,0.6348254623037903,0.1903116109241937,5,11,1
Short-finned pilot whale,1,1,0.5619296281120918,0.16039580873033757,4,11,1
Short-finned pilot whale,1,2,0.632213672734442,0.18770244208013565,5,11,1
Short-finned pilot whale,1,3,0.6307241463712105,0.23157033280186218,4,11,1
Short-finned pilot whale,1,4,0.691079494653059,0.05088627542101138,5,11,1
Short-finned pilot whale,1,5,0.6812365143832888,0.09374778315796578,5,11,1
Short-finned pilot whale,1,6,0.6522201773717443,0.08848272076167127,5,11,1
Short-finned pilot whale,1,7,0.5583873228931076,0.10038206289675086,5,11,1
Short-finned pilot whale,1,8,0.6227008199965656,0.1432731925956282,5,11,1
Short-finned pilot whale,1,9,0.6010619813180125,0.15898141308269015,4,11,1
Short-finned pilot whale,2,0,0.7498881992097166,0.12355506799836873,5,11,2
Short-finned pilot whale,2,1,0.7215320954864582,0.07274450581589312,5,11,2
Short-finned pilot whale,2,2,0.719572929146924,0.042192781051226036,5,11,2
Short-finned pilot whale,2,3,0.5530483503979186,0.120027981879452,5,11,2
Short-finned pilot whale,2,4,0.6309907223144992,0.0789422657099647,5,11,2
Short-finned pilot whale,2,5,0.6454320005555486,0.16741406232777087,5,11,2
Short-finned pilot whale,2,6,0.7086961053386615,0.0746034705650351,5,11,2
Short-finned pilot whale,2,7,0.649966530619728,0.13983241445405495,5,11,2
Short-finned pilot whale,2,8,0.7189982234605979,0.1328528753451111,5,11,2
Short-finned pilot whale,2,9,0.661096960668768,0.09043083701586693,5,11,2
Short-finned pilot whale,4,0,0.7564254865523046,0.0858855752793949,5,11,4
Short-finned pilot whale,4,1,0.6859190622086373,0.11767927707722614,5,11,4
Short-finned pilot whale,4,2,0.7180885312353193,0.14652208478066497,5,11,4
Short-finned pilot whale,4,3,0.7695824194702692,0.10664109603054832,5,11,4
Short-finned pilot whale,4,4,0.6804867109810773,0.12517296596909325,5,11,4
Short-finned pilot whale,4,5,0.7557205221762411,0.031098569348525482,5,11,4
Short-finned pilot whale,4,6,0.7490440817901123,0.1226997961172176,5,11,4
Short-finned pilot whale,4,7,0.7031271632625659,0.10831832407603867,5,11,4
Short-finned pilot whale,4,8,0.7058241901894462,0.07883059339673174,5,11,4
Short-finned pilot whale,4,9,0.7884603954507355,0.09147868946336084,5,11,4
Short-finned pilot whale,8,0,0.8016472033620152,0.0907526875865545,5,11,8
Short-finned pilot whale,8,1,0.7938448460597485,0.08883379426894504,5,11,8
Short-finned pilot whale,8,2,0.807896869736644,0.08777221657162566,5,11,8
Short-finned pilot whale,8,3,0.8355528846022764,0.041239812695118186,5,11,8
Short-finned pilot whale,8,4,0.8049416277016741,0.08212593237766831,5,11,8
Short-finned pilot whale,8,5,0.769335251867879,0.1336198225952352,5,11,8
Short-finned pilot whale,8,6,0.8210740418115096,0.05491994888754692,5,11,8
Short-finned pilot whale,8,7,0.7780941122646814,0.14179492652339284,5,11,8
Short-finned pilot whale,8,8,0.797376556171429,0.07906123885852298,5,11,8
Short-finned pilot whale,8,9,0.7609453044976929,0.09526815806428728,5,11,8
Short-finned pilot whale,16,0,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,1,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,2,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,3,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,4,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,5,0.7984599442011013,0.09875978135570222,5,11,9
