evaluator,return,theta,hours,N,seed,pctl
eval_at,"[0.3941227312013829, 39.23281596452328, 456, 983, 701, 1439]",0.6616239956021309,25.055555555555554,10,1,63.5
eval_at,"[0.40017286084701814, 39.03325942350333, 463, 978, 694, 1441]",0.6854743957519531,25.055555555555554,10,1,64.0
eval_at,"[0.4010371650821089, 38.95343680709534, 464, 976, 693, 1440]",0.7112264174222946,25.055555555555554,10,1,64.5
eval_at,"[0.4010371650821089, 38.87361419068736, 464, 974, 693, 1438]",0.738699293136597,25.055555555555554,10,1,65.0
eval_at,"[0.40276577355229043, 38.43458980044346, 466, 963, 691, 1429]",0.7619917115569115,25.055555555555554,10,1,65.5
eval_at,"[0.40535868625756266, 38.35476718403548, 469, 961, 688, 1430]",0.787804981470108,25.055555555555554,10,1,66.0
eval_at,"[0.40535868625756266, 38.39467849223947, 469, 962, 688, 1431]",0.8105525764822961,25.055555555555554,10,1,66.5
eval_at,"[0.40881590319792566, 38.19512195121951, 473, 957, 684, 1430]",0.8373152488470079,25.055555555555554,10,1,67.0
eval_at,"[0.4062229904926534, 38.23503325942351, 470, 958, 687, 1428]",0.8636049285531044,25.055555555555554,10,1,67.5
eval_at,"[0.4070872947277442, 37.95565410199557, 471, 951, 686, 1422]",0.8871219015121461,25.055555555555554,10,1,68.0
