Recall,FP_h,TP,FP,evaluator,theta,pctl,theta_q,theta_p,pctl_q,pctl_p
0.5427830596369922,55.8359201773836,628,1399,eval_union,,99.5,2.4292186498641963,0.3039244891703129,97.0,54.5
0.5453759723422644,56.19512195121952,631,1408,eval_union,,99.5,2.4292186498641963,0.3262671649456025,97.0,55.0
0.547104580812446,55.99556541019956,633,1403,eval_union,,99.5,2.4292186498641963,0.3467662724852562,97.0,55.5
0.5496974935177182,55.91574279379158,636,1401,eval_union,,99.5,2.4292186498641963,0.3696902775764466,97.0,56.0
0.550561797752809,55.55654101995566,637,1392,eval_union,,99.5,2.4292186498641963,0.39403564170002897,97.0,56.5
0.5531547104580813,55.67627494456763,640,1395,eval_union,,99.5,2.4292186498641963,0.4158895432949063,97.0,57.0
0.550561797752809,55.3569844789357,637,1387,eval_union,,99.5,2.4292186498641963,0.4408461287617683,97.0,57.5
0.5548833189282627,55.15742793791575,642,1382,eval_union,,99.5,2.4292186498641963,0.4636224222183222,97.0,58.0
0.5548833189282627,54.43902439024391,642,1364,eval_union,,99.5,2.4292186498641963,0.4862138393521306,97.0,58.5
0.5583405358686258,54.4789356984479,646,1365,eval_union,,99.5,2.4292186498641963,0.5100289094448089,97.0,59.0
0.5600691443388073,54.4789356984479,648,1365,eval_union,,99.5,2.4292186498641963,0.53369487285614,97.0,59.5
0.560933448573898,54.23946784922395,649,1359,eval_union,,99.5,2.4292186498641963,0.5609069585800168,97.0,60.0
0.5592048401037165,54.039911308204,647,1354,eval_union,,99.5,2.4292186498641963,0.5843599221110344,97.0,60.5
0.5635263612791702,53.5609756097561,652,1342,eval_union,,99.5,2.4292186498641963,0.6091355311870574,97.0,61.0
0.564390665514261,53.08203991130821,653,1330,eval_union,,99.5,2.4292186498641963,0.6337484446167945,97.0,61.5
0.564390665514261,53.04212860310422,653,1329,eval_union,,99.5,2.4292186498641963,0.6624158799648286,97.0,62.0
0.5635263612791702,52.922394678492246,652,1326,eval_union,,99.5,2.4292186498641963,0.6881835907697678,97.0,62.5
0.5626620570440796,52.6829268292683,651,1320,eval_union,,99.5,2.4292186498641963,0.7135676008462906,97.0,63.0
0.5635263612791702,52.12416851441242,652,1306,eval_union,,99.5,2.4292186498641963,0.7418914434313776,97.0,63.5
0.5617977528089888,51.485587583148565,650,1290,eval_union,,99.5,2.4292186498641963,0.7703533840179444,97.0,64.0
0.5600691443388073,51.246119733924616,648,1284,eval_union,,99.5,2.4292186498641963,0.8025784644484519,97.0,64.5
0.5617977528089888,50.966740576496676,650,1277,eval_union,,99.5,2.4292186498641963,0.8315627306699753,97.0,65.0
0.5635263612791702,50.208425720620845,652,1258,eval_union,,99.5,2.4292186498641963,0.8658838188648225,97.0,65.5
0.564390665514261,49.60975609756098,653,1243,eval_union,,99.5,2.4292186498641963,0.8965475130081176,97.0,66.0
0.5635263612791702,49.0509977827051,652,1229,eval_union,,99.5,2.4292186498641963,0.9232272216677666,97.0,66.5
