species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
False killer whale,8,8,0.9176758769979225,0.04691825399557739,5,13,8
False killer whale,8,9,0.9014309751035713,0.10662326359024098,5,13,8
False killer whale,16,0,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,1,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,2,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,3,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,4,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,5,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,6,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,7,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,8,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,16,9,0.8939506124701199,0.11871444787068595,5,13,11
False killer whale,all,0,0.8939506124701199,0.11871444787068595,5,13,11
Short-finned pilot whale,1,0,0.62230397548553,0.17888028411712387,5,11,1
Short-finned pilot whale,1,1,0.5683732127428327,0.1929806034163187,4,11,1
Short-finned pilot whale,1,2,0.620167444981039,0.18303303437604998,5,11,1
Short-finned pilot whale,1,3,0.6266223170092049,0.22666880524189437,4,11,1
Short-finned pilot whale,1,4,0.6848312816636823,0.03978920301034885,5,11,1
Short-finned pilot whale,1,5,0.6827507112013513,0.09882371370120603,5,11,1
Short-finned pilot whale,1,6,0.6785486605094849,0.07925733657235305,5,11,1
Short-finned pilot whale,1,7,0.5432628354732688,0.12619473979365387,5,11,1
Short-finned pilot whale,1,8,0.6058625612868384,0.16370452586711542,5,11,1
Short-finned pilot whale,1,9,0.6265116407043313,0.17377866455970076,4,11,1
Short-finned pilot whale,2,0,0.7417551000518094,0.1259374888099712,5,11,2
Short-finned pilot whale,2,1,0.7397064588985861,0.060638468951533714,5,11,2
Short-finned pilot whale,2,2,0.7068779358289341,0.06394282781173218,5,11,2
Short-finned pilot whale,2,3,0.5537324139854138,0.11066614128056544,5,11,2
Short-finned pilot whale,2,4,0.6245521979355739,0.0800610851130117,5,11,2
Short-finned pilot whale,2,5,0.6389982824300682,0.15842432412117807,5,11,2
Short-finned pilot whale,2,6,0.7179004243286308,0.06115754089924245,5,11,2
Short-finned pilot whale,2,7,0.6396823036623243,0.16536309413864717,5,11,2
Short-finned pilot whale,2,8,0.7236109278813763,0.13940239057370304,5,11,2
Short-finned pilot whale,2,9,0.6549814566410088,0.10895593324216113,5,11,2
Short-finned pilot whale,4,0,0.7578381363408353,0.07472817389364468,5,11,4
Short-finned pilot whale,4,1,0.6937254138171802,0.10386125604876989,5,11,4
Short-finned pilot whale,4,2,0.7243860802528104,0.13499950583274123,5,11,4
Short-finned pilot whale,4,3,0.7714297961886724,0.10618896802558789,5,11,4
Short-finned pilot whale,4,4,0.654272684274015,0.12706481201660597,5,11,4
Short-finned pilot whale,4,5,0.7680310365476195,0.03169934293007843,5,11,4
Short-finned pilot whale,4,6,0.7538567803157923,0.10729374742192307,5,11,4
Short-finned pilot whale,4,7,0.7041609730019702,0.10721143440627012,5,11,4
Short-finned pilot whale,4,8,0.6989417478833528,0.0767851742519332,5,11,4
Short-finned pilot whale,4,9,0.7855626092937582,0.07853769643204835,5,11,4
Short-finned pilot whale,8,0,0.8105755860158143,0.07177563959339185,5,11,8
Short-finned pilot whale,8,1,0.7924842650660108,0.07662706409905094,5,11,8
Short-finned pilot whale,8,2,0.8103824402312101,0.07493325363186575,5,11,8
Short-finned pilot whale,8,3,0.836060885636352,0.03952077377699629,5,11,8
Short-finned pilot whale,8,4,0.8053192689356795,0.06959686684965156,5,11,8
Short-finned pilot whale,8,5,0.7742498281255283,0.11555588091549442,5,11,8
Short-finned pilot whale,8,6,0.8246952639361795,0.044032560834548845,5,11,8
Short-finned pilot whale,8,7,0.7829621717447575,0.1202360368476165,5,11,8
Short-finned pilot whale,8,8,0.8003970001656923,0.06643520949003018,5,11,8
Short-finned pilot whale,8,9,0.760428531599594,0.0864949009511571,5,11,8
Short-finned pilot whale,16,0,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,1,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,2,0.8013345976404438,0.08051534451264111,5,11,9
